V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,Instructions,E1_A_FG_BL,E1_A_FG_BL_time_1,E1_A_FG_BL_time_2,E1_A_FG_BL_time_3,E1_A_FG_BL_time_4,E1_A_FG_BL_resp,E1_A_FG_BL_rt_1,E1_A_FG_BL_rt_2,E1_A_FG_BL_rt_3,E1_A_FG_BL_rt_4,E1_B_BG_BL,E1_B_BG_BL_time_1,E1_B_BG_BL_time_2,E1_B_BG_BL_time_3,E1_B_BG_BL_time_4,E1_B_BG_BL_resp,E1_B_BG_BL_rt_1,E1_B_BG_BL_rt_2,E1_B_BG_BL_rt_3,E1_B_BG_BL_rt_4,E1_C_FG_FL,E1_C_FG_FL_time_1,E1_C_FG_FL_time_2,E1_C_FG_FL_time_3,E1_C_FG_FL_time_4,E1_C_FG_FL_resp,E1_C_FG_FL_rt_1,E1_C_FG_FL_rt_2,E1_C_FG_FL_rt_3,E1_C_FG_FL_rt_4,E1_D_BG_FL,E1_D_BG_FL_time_1,E1_D_BG_FL_time_2,E1_D_BG_FL_time_3,E1_D_BG_FL_time_4,E1_D_BG_FL_resp,E1_D_BG_FL_rt_1,E1_D_BG_FL_rt_2,E1_D_BG_FL_rt_3,E1_D_BG_FL_rt_4,VideoCompletion,VideoNTimes,GestureNotice,OpenEnded,MathQuestion,age,gender,handedness,language,ThankYou,DO-BR-FL_10,LocationLatitude,LocationLongitude,LocationAccuracy
R_1MSf0QO2SCI3yoV,Default Response Set,Anonymous,,,50.27.22.249,0,22/03/2017 11:24,22/03/2017 11:27,1,1,1,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,Definitely yes,You asked to watch it once but I didn't catch the day so I had to watch it again or I wouldn't be able to answer the question. The gesture was contrary to what he was saying and it distracted me.,13,47,female,right-handed,French,1,E1_A_FG_BL,33.61410522,-101.9573975,-1
R_1OCY0fQZaeWyROM,Default Response Set,Anonymous,,,68.202.116.132,0,22/03/2017 11:25,22/03/2017 11:27,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,monday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,,13,23,male,right-handed,English,1,E1_C_FG_FL,28.88409424,-81.23480225,-1
R_1FaNi8q9DrMk9cw,Default Response Set,Anonymous,,,12.204.222.254,0,22/03/2017 11:26,22/03/2017 11:32,1,1,1,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,"No problem, thanks!",13,37,male,right-handed,English,1,E1_B_BG_BL,35.04679871,-85.29160309,-1
R_3ffws57Z4TaeMit,Default Response Set,Anonymous,,,70.168.7.208,0,22/03/2017 09:46,22/03/2017 09:49,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,Yes,2,Definitely yes,He is a bit odd. Is he from a different planet?,13,61,male,right-handed,English,,E1_C_FG_FL,,,-1
R_z7EwnBSJR12wxBn,Default Response Set,Anonymous,,,129.120.84.108,0,22/03/2017 11:10,22/03/2017 11:13,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,,13,23,male,right-handed,English,,E1_C_FG_FL,,,-1
R_1GBaWgs5nsLxtn8,Default Response Set,Anonymous,,,50.175.164.192,0,22/03/2017 09:25,22/03/2017 09:26,0,1,1,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,2,Definitely yes,None,13,31,male,right-handed,English,,E1_B_BG_BL,,,-1
R_4YKB5FAjZjEjECR,Default Response Set,Anonymous,,,50.102.65.230,0,22/03/2017 12:42,22/03/2017 12:44,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,,13,31,female,right-handed,English,1,E1_C_FG_FL,41.03939819,-85.23220062,-1
R_3MrLrdjmzT0Gzfq,Default Response Set,Anonymous,,,73.132.86.105,0,22/03/2017 12:51,22/03/2017 12:53,1,1,1,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,One,Definitely yes,"I thought the gesture indicated that it was Monday, but ultimately felt that was ridiculous (people universally say ""moved forwards"" to indicate such a change.)",13,23,male,right-handed,English,1,E1_B_BG_BL,39.44059753,-77.81369781,-1
R_1jw6Ltf6S7BJt11,Default Response Set,Anonymous,,,104.228.143.186,0,22/03/2017 12:57,22/03/2017 12:58,1,1,1,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,,13,28,male,right-handed,English,1,E1_B_BG_BL,42.92640686,-78.74790192,-1
R_2PbO4kakvQu3bli,Default Response Set,Anonymous,,,50.25.67.183,0,22/03/2017 12:56,22/03/2017 12:59,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,Yes,1,Definitely yes,It was awkward seeing him move backward but saying forward,13,37,female,right-handed,English,1,E1_D_BG_FL,37.86610413,-82.34770203,-1
R_20TcktQqvFS85Ih,Default Response Set,Anonymous,,,50.139.148.122,0,22/03/2017 13:00,22/03/2017 13:02,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,Yes,1,Definitely yes,"Their delivery was odd and they had an accent that I couldn't quite identify. Not that that's a negative, just what I observed.",13,42,male,right-handed,English,1,E1_D_BG_FL,42.11860657,-72.54989624,-1
R_20TK4PPfm62jSOZ,Default Response Set,Anonymous,,,68.2.67.191,0,22/03/2017 13:05,22/03/2017 13:07,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,Yes,1,Definitely yes,I'm not sure why he was holding his open hand out.,13,54,female,right-handed,English,1,E1_D_BG_FL,33.44030762,-111.8536987,-1
R_2qfLvEVFzAFx7RG,Default Response Set,Anonymous,,,104.244.222.78,0,22/03/2017 13:04,22/03/2017 13:07,1,1,1,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,No,13,23,female,right-handed,"English, Vietnamese",1,E1_A_FG_BL,47.57159424,-122.3327026,-1
R_1INxsXkGSUhs1UE,Default Response Set,Anonymous,,,104.174.223.0,0,22/03/2017 13:05,22/03/2017 13:07,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,Yes,1,Definitely yes,None,13,27,male,right-handed,English,1,E1_D_BG_FL,34.07899475,-117.8493958,-1
R_DTQk8mk4S248AHn,Default Response Set,Anonymous,,,24.93.137.110,0,22/03/2017 13:05,22/03/2017 13:08,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Next Friday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,He was a young white man with short hair.,13,24,male,right-handed,English,1,E1_C_FG_FL,44.17329407,-69.12480164,-1
R_D7P16Kk7Sd12wuJ,Default Response Set,Anonymous,,,192.5.215.225,0,22/03/2017 13:08,22/03/2017 13:09,1,1,1,,,,,,,,,,,1,1,2,3,4,monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,,13,20,female,right-handed,english,1,E1_B_BG_BL,38.83569336,-77.33750153,-1
R_2aFW9kPyfsZGvOR,Default Response Set,Anonymous,,,24.225.84.65,0,22/03/2017 13:10,22/03/2017 13:11,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,,13,43,male,right-handed,english,1,E1_C_FG_FL,35.96659851,-79.04100037,-1
R_3G8jqOW5WTBjtpH,Default Response Set,Anonymous,,,76.203.193.126,0,22/03/2017 09:24,22/03/2017 09:26,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,Wednesday's meeting moved to Friday.,13,38,female,left-handed,English,,E1_C_FG_FL,,,-1
R_1hRzsx01TMqCHdI,Default Response Set,Anonymous,,,73.64.44.32,0,22/03/2017 09:46,22/03/2017 09:47,0,1,1,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,I was a bit confused on why he moved his hand forward when he was saying that the meeting was moved back.,13,34,female,right-handed,english,,E1_A_FG_BL,,,-1
R_YabW4mbJHamQ2qZ,Default Response Set,Anonymous,,,199.227.131.146,0,22/03/2017 11:25,22/03/2017 11:26,0,1,1,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,This was great!,13,30,male,right-handed,English,,E1_A_FG_BL,,,-1
R_PLDRLvcrUQtDlmh,Default Response Set,Anonymous,,,24.12.154.253,0,22/03/2017 09:25,22/03/2017 09:26,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,Yes,1,Definitely yes,The person had his hand out in front of him.,13,29,male,right-handed,English,,E1_D_BG_FL,,,-1
R_2Y5j8xV8lIa0QXA,Default Response Set,Anonymous,,,50.38.109.119,0,22/03/2017 13:28,22/03/2017 13:30,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,friday,1,2,3,4,Yes,1,Definitely yes,he had his arm bent in like he was serious,13,37,male,right-handed,english,1,E1_D_BG_FL,45.478302,-123.2073975,-1
R_25KQoQOaPkya03u,Default Response Set,Anonymous,,,72.208.193.156,0,22/03/2017 13:30,22/03/2017 13:32,1,1,1,,,,,,,,,,,1,1,2,3,4,monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,n/a,13,35,male,right-handed,english,1,E1_B_BG_BL,33.24789429,-111.7894974,-1
R_22skNpFxfHfIunQ,Default Response Set,Anonymous,,,24.225.119.55,0,22/03/2017 13:29,22/03/2017 13:33,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,"I really wasn't sure whether he meant two days earlier or later.  I guess I'd normally take ""forward"" to mean earlier.  Not sure whether the hand gesture added to that feeling or detracted from it, since it was coming at me (to suggest earlier), but it was coming from the guy, so maybe he was doing it in relation to himself.  Also, I only watched the video once and didn't 100% remember if he said Wednesday meeting or Thursday meeting (I was distracted by his strange posture).  Either way I wanted my answer to be two days earlier, so either Monday or Tuesday, depending on what the original day was.",13,39,male,right-handed,English,1,E1_C_FG_FL,48.14639282,-96.17649841,-1
R_1I3MScJHeL4GWhs,Default Response Set,Anonymous,,,73.204.38.204,0,22/03/2017 13:32,22/03/2017 13:33,1,1,1,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,He had an accent,13,40,male,right-handed,english,1,E1_A_FG_BL,26.63859558,-80.25119781,-1
R_vwBhekSzXLYMZbj,Default Response Set,Anonymous,,,50.248.157.1,0,22/03/2017 13:32,22/03/2017 13:34,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,"He said ""forward"" and gestured, that it would be going in front of him; kind of seems misleading as the wording means it was moved to Monday, but his gesture makes me think its being 'pushed' to Friday.",13,28,male,left-handed,English,1,E1_C_FG_FL,40.55160522,-74.46369934,-1
R_22Ly6NZDUgt02LC,Default Response Set,Anonymous,,,174.21.235.135,0,22/03/2017 13:29,22/03/2017 13:36,1,1,1,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,Definitely yes,The man moved his hand forward when speaking,13,29,female,ambidextrous,English,1,E1_A_FG_BL,47.64759827,-122.5363998,-1
R_2bUh0iFWn6B1Ehs,Default Response Set,Anonymous,,,4.15.246.7,0,22/03/2017 09:45,22/03/2017 09:49,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,E1_C_FG_FL,,,-1
R_3ktgNpzv21xCNEE,Default Response Set,Anonymous,,,24.249.31.91,0,22/03/2017 10:03,22/03/2017 10:03,0,1,1,,,,,,,,,,,1,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E1_B_BG_BL,,,-1
R_2BhuA4Pf2mCkCDV,Default Response Set,Anonymous,,,208.78.251.48,0,22/03/2017 14:50,22/03/2017 14:51,1,1,1,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,,13,26,male,right-handed,english,1,E1_B_BG_BL,36.57220459,-88.57420349,-1
R_2rPFsItPbvFvwwr,Default Response Set,Anonymous,,,173.175.168.39,0,22/03/2017 14:53,22/03/2017 14:54,1,1,1,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,He moved his hand forward,13,29,male,right-handed,English,1,E1_A_FG_BL,31.78320313,-106.4975967,-1
R_1HeOZrpy6xlypK2,Default Response Set,Anonymous,,,47.211.101.42,0,22/03/2017 14:57,22/03/2017 14:58,1,1,1,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,2,Definitely yes,None,13,26,male,right-handed,English,1,E1_B_BG_BL,31.32240295,-92.43430328,-1
R_2xUUFgLfcdOdHbj,Default Response Set,Anonymous,,,216.47.56.214,0,22/03/2017 14:59,22/03/2017 15:00,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,Yes,1,Definitely yes,,13,35,female,right-handed,English,1,E1_D_BG_FL,47.5625,-115.4420013,-1
R_21hRhWuPCODqdOM,Default Response Set,Anonymous,,,70.199.153.117,0,22/03/2017 15:00,22/03/2017 15:01,1,1,1,,,,,,,,,,,1,1,2,3,4,monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,,Probably yes,,13,26,female,right-handed,english,1,E1_B_BG_BL,47.38090515,-122.2348022,-1
R_yw2t29j80eyPOYV,Default Response Set,Anonymous,,,134.228.86.137,0,22/03/2017 11:10,22/03/2017 11:11,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,E1_C_FG_FL,,,-1
R_2BzB7oa9Udd3CZr,Default Response Set,Anonymous,,,198.24.30.133,0,22/03/2017 11:11,22/03/2017 11:12,0,1,1,1,1,2,3,4,asd,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E1_A_FG_BL,,,-1
R_1CDRCPfhKByJN2J,Default Response Set,Anonymous,,,75.110.63.56,0,22/03/2017 15:11,22/03/2017 15:13,1,1,1,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,Definitely yes,,13,37,male,right-handed,English,1,E1_A_FG_BL,35.68760681,-77.16609955,-1
R_3LZleIiIfypTDpE,Default Response Set,Anonymous,,,74.222.112.125,0,22/03/2017 12:44,22/03/2017 12:45,0,1,1,1,1,2,3,4,monday ,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,,13,24,female,right-handed,english,,E1_A_FG_BL,,,-1
R_sTIE8V132dbg2fn,Default Response Set,Anonymous,,,207.250.21.224,0,22/03/2017 12:45,22/03/2017 12:47,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_33s4dQnOr0GFNnf,Default Response Set,Anonymous,,,45.36.161.66,0,22/03/2017 12:45,22/03/2017 12:46,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,He was speaking a little slow,13,23,male,right-handed,English,,E1_C_FG_FL,,,-1
R_2Y5JjMOgquoFqzD,Default Response Set,Anonymous,,,73.3.216.99,0,22/03/2017 12:56,22/03/2017 12:56,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E1_A_FG_BL,,,-1
R_23W7FuDgLCyxMD1,Default Response Set,Anonymous,,,98.236.191.48,0,22/03/2017 12:58,22/03/2017 12:59,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,friday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,E1_C_FG_FL,,,-1
R_1NsjPU8cDBp57WM,Default Response Set,Anonymous,,,136.61.69.96,0,22/03/2017 13:05,22/03/2017 13:06,0,1,1,1,1,2,3,4,two days before,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,`,Definitely yes,,13,44,female,left-handed,English,,E1_A_FG_BL,,,-1
R_2yaop901uLkuqEK,Default Response Set,Anonymous,,,98.237.133.19,0,22/03/2017 12:41,22/03/2017 12:42,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,Yes,1,Definitely yes,interesting looking guy,13,26,male,right-handed,English,,E1_D_BG_FL,,,-1
R_viZDPsxs9pgLD8t,Default Response Set,Anonymous,,,76.94.166.195,0,22/03/2017 12:42,22/03/2017 12:43,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,friday,1,2,3,4,Yes,1,Definitely yes,"the forwards gesture was towards him, which was kind of weird.",13,26,male,left-handed,English,,E1_D_BG_FL,,,-1
R_6mRbvmpBTEVroZP,Default Response Set,Anonymous,,,108.237.50.190,0,22/03/2017 12:41,22/03/2017 12:44,0,1,1,,,,,,,,,,,1,1,2,3,4,monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,I was asked what day of the week was the meeting rescheduled to which was 2 days prior to WEDS,13,27,male,right-handed,english,,E1_B_BG_BL,,,-1
R_3efsKOpvVj4tmEE,Default Response Set,Anonymous,,,32.213.48.207,0,22/03/2017 13:09,22/03/2017 13:09,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_6uo73pfcKT7Xhwl,Default Response Set,Anonymous,,,108.185.235.3,0,22/03/2017 13:10,22/03/2017 13:13,0,1,1,1,1,2,3,4,backwards two days. Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,no,13,47,female,right-handed,english,,E1_A_FG_BL,,,-1
R_2f5zhWbsm6gurBv,Default Response Set,Anonymous,,,67.184.217.144,0,22/03/2017 13:28,22/03/2017 13:30,0,1,1,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,,13,36,male,right-handed,english,,E1_B_BG_BL,,,-1
R_3Ra4FxMBAJuF69y,Default Response Set,Anonymous,,,104.35.159.124,0,22/03/2017 13:29,22/03/2017 13:31,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,Yes,"2, it was buffering badly again so I had to replay it from the beginning.",Definitely yes,"The video didn't load correctly at first, it kept starting and stopping.",13,52,female,right-handed,English,,E1_D_BG_FL,,,-1
R_2BrhoxH6S8qmhb6,Default Response Set,Anonymous,,,184.16.122.253,0,22/03/2017 13:29,22/03/2017 13:31,0,1,1,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,,13,38,female,right-handed,English,,E1_A_FG_BL,,,-1
R_TnDB8UkWksSU6pb,Default Response Set,Anonymous,,,24.249.126.45,0,22/03/2017 14:52,22/03/2017 14:53,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,,13,23,female,right-handed,English,,E1_C_FG_FL,,,-1
R_3EII4owuyfvx76V,Default Response Set,Anonymous,,,173.175.168.39,0,22/03/2017 14:50,22/03/2017 14:54,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,,,,,,,,,,,,,,,,E1_D_BG_FL,,,-1
R_1n0xWMG5D2EheNZ,Default Response Set,Anonymous,,,68.106.234.85,0,22/03/2017 14:59,22/03/2017 15:00,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E1_D_BG_FL,,,-1
R_3NPy9BbHHr08LxP,Default Response Set,Anonymous,,,108.73.39.114,0,22/03/2017 15:02,22/03/2017 15:04,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,No.,13,60,male,left-handed,English,,E1_C_FG_FL,,,-1
R_5b6dvOAZSylkJK9,Default Response Set,Anonymous,,,74.110.161.128,0,22/03/2017 13:06,22/03/2017 13:07,0,1,1,,,,,,,,,,,1,1,2,3,4,Next Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,2,Definitely yes,,13,34,male,right-handed,English,,E1_B_BG_BL,,,-1
R_3FOIguAd2Q98h9h,Default Response Set,Anonymous,,,173.224.109.242,0,22/03/2017 14:50,22/03/2017 14:53,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,friday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,it seemed kinda odd,13,33,male,right-handed,english,,E1_C_FG_FL,,,-1
R_1rqYwtXhzs2flMo,Default Response Set,Anonymous,,,96.41.186.199,0,23/03/2017 08:38,23/03/2017 08:39,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,Yes,1,Definitely yes,There was a lag in the video that messed up the sync of audio and video that kind of threw me off.,13,42,female,left-handed,English,1,E1_D_BG_FL,43.4835968,-124.1632996,-1
R_2q4o7ZTjq7R7Lhg,Default Response Set,Anonymous,,,72.83.12.78,0,23/03/2017 08:43,23/03/2017 08:44,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,Yes,1,Definitely yes,no,13,22,female,right-handed,English,1,E1_D_BG_FL,38.98269653,-77.34010315,-1
R_2P75YR8b3Imcsrd,Default Response Set,Anonymous,,,72.24.115.0,0,23/03/2017 08:44,23/03/2017 08:45,1,1,1,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,none,13,41,female,right-handed,english,1,E1_B_BG_BL,33.43409729,-88.35649872,-1
R_1E6ZGMCWBU5QB9l,Default Response Set,Anonymous,,,74.195.124.158,0,23/03/2017 09:01,23/03/2017 09:05,1,1,1,1,1,2,3,4,Next Monday ,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,Definitely yes,No. ,13,31,male,right-handed,English,1,E1_A_FG_BL,35.16130066,-101.8789978,-1
R_1NENTlZ5ZdBAgsB,Default Response Set,Anonymous,,,108.254.224.255,0,23/03/2017 10:13,23/03/2017 10:14,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,,13,27,female,right-handed,English,1,E1_C_FG_FL,34.61700439,-89.90799713,-1
R_2rihIHNxq3giTmh,Default Response Set,Anonymous,,,73.43.39.221,0,23/03/2017 10:14,23/03/2017 10:15,1,1,1,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,It was hard to understand them,13,29,male,right-handed,English,1,E1_B_BG_BL,33.77189636,-84.37709808,-1
R_1pzJF4YR8ONBJUp,Default Response Set,Anonymous,,,73.230.123.122,0,23/03/2017 10:13,23/03/2017 10:16,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,Yes,1,Definitely yes,,13,58,male,left-handed,English,1,E1_D_BG_FL,40.79750061,-77.90209961,-1
R_1IWWqrDC81g3H9S,Default Response Set,Anonymous,,,24.139.88.182,0,23/03/2017 10:14,23/03/2017 10:16,1,1,1,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Probably yes,,13,31,female,left-handed,english,1,E1_A_FG_BL,18.29389954,-67.13009644,-1
R_2VO7RUxj3MEfn22,Default Response Set,Anonymous,,,98.221.117.79,0,23/03/2017 10:14,23/03/2017 10:16,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Sunday,1,2,3,4,Yes,1,Definitely yes,His mannerisms seemed stiff.,13,53,female,right-handed,English,1,E1_D_BG_FL,39.3914032,-74.51820374,-1
R_3EbVrmICT7BrxLC,Default Response Set,Anonymous,,,73.224.65.241,0,23/03/2017 10:20,23/03/2017 10:21,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,none,13,34,male,left-handed,english,1,E1_C_FG_FL,30.09660339,-81.71900177,-1
R_T1IcZ86ZfXH1fvb,Default Response Set,Anonymous,,,216.15.59.152,0,23/03/2017 10:20,23/03/2017 10:22,1,1,1,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,Definitely yes,N/A,13,24,male,right-handed,English,1,E1_A_FG_BL,38.93449402,-77.05960083,-1
R_2wmEHnFdZvnWzB7,Default Response Set,Anonymous,,,69.14.112.43,0,23/03/2017 08:36,23/03/2017 08:36,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_262OqkjywIazIFx,Default Response Set,Anonymous,,,75.182.58.106,0,23/03/2017 08:36,23/03/2017 08:37,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,Yes,1,Definitely yes,he was using his hands to gesture ,13,37,female,right-handed,english,,E1_C_FG_FL,,,-1
R_1i9dutWjAmI3bTr,Default Response Set,Anonymous,,,173.31.242.168,0,23/03/2017 08:37,23/03/2017 08:38,0,1,1,,,,,,,,,,,1,1,2,3,4,Monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,,13,31,female,right-handed,English,,E1_B_BG_BL,,,-1
R_1n2tMoVAuYcfYUo,Default Response Set,Anonymous,,,66.69.128.152,0,23/03/2017 08:39,23/03/2017 08:39,0,1,1,1,1,2,3,4,monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Definitely yes,,13,25,male,right-handed,english,,E1_A_FG_BL,,,-1
R_2uIB6EOtuOdctAV,Default Response Set,Anonymous,,,73.67.112.12,0,23/03/2017 08:42,23/03/2017 08:43,0,1,1,1,1,2,3,4,monday,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,Definitely yes,,13,24,female,left-handed,english,,E1_A_FG_BL,,,-1
R_3qE6DvzifbMDys5,Default Response Set,Anonymous,,,67.134.55.204,0,23/03/2017 09:01,23/03/2017 09:02,0,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,Friday,1,2,3,4,,,,,,,,,,,Yes,once,Definitely yes,,13,49,female,right-handed,English,,E1_C_FG_FL,,,-1
